date,text,sentiment,mood,clean_text,city,temp,humidity,weather
2009-06-07 03:36:33,just bit my tongue ,0,sad,just bit my tongue ,Lucknow,29.99,69,Clouds
2009-06-01 12:09:16,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,0,sad, apparently you dont have time for ur fans ,Delhi,34.12,51,Clouds
2009-06-06 06:49:41,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,4,happy,whaddup whaddup whaddup whaddup whaddup  i got white girl swag from my head to my shoes whaddup  ,Mumbai,27.72,82,Clouds
2009-05-28 23:39:25,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",4,happy, id be willing to pay  thus covering the cost of the set for one of them but if youve got a counter offer ill listen ,Bangalore,23.83,77,Clouds
2009-06-16 04:49:51,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,4,happy,working on photos from hillsongs  year celebration stay tuned   wwwhillsongcoza,Chennai,29.34,81,Clouds
2009-05-01 23:59:22,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",0,sad,babys chicken pox are soo bad on the face i am afraid she might have scars ,Kolkata,28.74,81,Clouds
2009-06-18 16:54:56,i don't feel good ,0,sad,i dont feel good ,Hyderabad,23.13,89,Clouds
2009-05-29 22:52:37,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,4,happy, ha ha i want to see pictures from when you were a minister  boobie flahses ,Pune,24.11,72,Clouds
2009-05-29 12:33:09,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,0,sad,this day will pass slowly  all of these days will  rawr   ,Ahmedabad,31.42,58,Clouds
2009-06-02 02:43:56,my car is poorly ,0,sad,my car is poorly ,Jaipur,34.37,42,Clouds
2009-04-19 06:04:37,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,4,happy,im turning  one week from now  but i dont feel excited  i really dont know why ive seen my friends  they got excited  but on my part,Lucknow,29.99,69,Clouds
2009-05-18 00:18:36,No woooooork tomorrrow&amp;tuesday ,4,happy,no woooooork tomorrrowamptuesday ,Delhi,34.12,51,Clouds
2009-05-22 00:15:04,Flatmates are still in the bathroom! ARGGH!! ,0,sad,flatmates are still in the bathroom arggh ,Mumbai,27.72,82,Clouds
2009-06-15 11:29:59,I'm having an allergic reaction to silver earings ,0,sad,im having an allergic reaction to silver earings ,Bangalore,23.83,77,Clouds
2009-06-01 21:06:49,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",0,sad, i am ill admit  maybe ill feel better tomorrow yo down  studio time,Chennai,29.34,81,Clouds
2009-06-17 19:07:16,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",0,sad, going back to sleep is such a great idea unfortunately im already at work notebookless ,Kolkata,28.74,81,Clouds
2009-06-15 14:57:09,what is with msn making me click the wrong people. garrrrr ,0,sad,what is with msn making me click the wrong people garrrrr ,Hyderabad,23.13,89,Clouds
2009-05-30 15:09:38,Too full of fizz but not enough cider ,0,sad,too full of fizz but not enough cider ,Pune,24.11,72,Clouds
2009-06-15 11:01:39,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,4,happy,how to get your ex back worked for me  ,Ahmedabad,31.42,58,Clouds
2009-06-25 00:37:45,Time to sleep... Long day again tomorrow ,0,sad,time to sleep long day again tomorrow ,Jaipur,34.37,42,Clouds
2009-06-15 21:53:41,Hahaha blakk is reckkkin it. :p throwwwwwed. ,4,happy,hahaha blakk is reckkkin it p throwwwwwed ,Lucknow,29.99,69,Clouds
2009-05-31 09:37:27,Cubs game today! My first ever ,4,happy,cubs game today my first ever ,Delhi,34.12,51,Clouds
2009-06-07 05:09:02,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,4,happy,  hi sounds like youre feeling a bit betterthats great you have a great day ,Mumbai,27.72,82,Clouds
2009-05-10 00:31:36,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,4,happy, lol  leave a kid on internet and the kid will do stupid things,Bangalore,23.83,77,Clouds
2009-06-02 23:23:28,eating cha with eric ,4,happy,eating cha with eric ,Chennai,29.34,81,Clouds
2009-06-02 21:30:06,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",4,happy, on a good note we did meet at marty richards red ball a few years ago you were so sweet to me ill never forget it ,Kolkata,28.74,81,Clouds
2009-06-18 07:01:32,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,0,sad,my hands are officially tied i dont think ill have time for anything anymore  this includes the california meet ,Hyderabad,23.13,89,Clouds
2009-05-11 21:43:17,"@Konstantine I said &quot;scar,&quot; sweetie. ",4,happy, i said quotscarquot sweetie ,Pune,24.11,72,Clouds
2009-05-22 02:19:37,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,0,sad, it was supposed to go live on tv but it didnt happened in the end  that would have been cool being on the bbc,Ahmedabad,31.42,58,Clouds
2009-05-17 10:49:45,FCK-Brï¿½ndby 4-0! ,4,happy,fckbrndby  ,Jaipur,34.37,42,Clouds
2009-06-18 12:32:19,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,0,sad, jealous  im yet to find a local chinese im satisfied with ,Lucknow,29.99,69,Clouds
2009-06-05 18:45:48,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,4,happy, there r a few of us local yocals around  happy to find u on twitter day,Delhi,34.12,51,Clouds
2009-06-06 20:16:58,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",4,happy,just back from supercheap  a most successful trip the bikes are tanked amp checked for the week so all ready to start relaxing ,Mumbai,27.72,82,Clouds
2009-05-14 00:59:39,@ElleChanel want to shoot...but i'm not in charlotte .. ,0,sad, want to shootbut im not in charlotte  ,Bangalore,23.83,77,Clouds
2009-06-16 02:44:54,@sephrenia1982 good work ,4,happy, good work ,Chennai,29.34,81,Clouds
2009-05-29 17:49:21,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,4,happy, welcome new cd out this weekmaybe even tomorrow ,Kolkata,28.74,81,Clouds
2009-06-23 16:46:11,@CatholicChicks hate bein on the phone that long ,0,sad, hate bein on the phone that long ,Hyderabad,23.13,89,Clouds
2009-05-29 15:36:25,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",4,happy,if anyone wanted to attend tedmed but cant make the date ill happily take your place and will liveblog it for you too ,Pune,24.11,72,Clouds
2009-05-18 03:42:25,@melbgirl It means the same to us!  #GoCats,4,happy, it means the same to us  ,Ahmedabad,31.42,58,Clouds
2009-05-31 11:55:25,"beach this morning,bbq this afternoon. Back to school/work 2morro ",0,sad,beach this morningbbq this afternoon back to schoolwork morro ,Jaipur,34.37,42,Clouds
2009-05-10 06:13:32,@joshlam and you are how old?? REALLY?!? ,4,happy, and you are how old really ,Lucknow,29.99,69,Clouds
2009-06-17 02:55:54,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,0,sad, siteowner custom search box fail quotmarketquotquotenauquot does nothing  it still targets us search   should be quotonly from australiaquot,Delhi,34.12,51,Clouds
2009-06-06 16:30:39,Watched Crank 2.... awesome ,4,happy,watched crank  awesome ,Mumbai,27.72,82,Clouds
2009-06-06 21:55:04,Night in with the rock star...  ,4,happy,night in with the rock star  ,Bangalore,23.83,77,Clouds
2009-05-30 07:02:50,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,4,happy, dont really have a reason haha sounds stupid ill be  ,Chennai,29.34,81,Clouds
2009-05-09 20:00:55,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,4,happy,first night in myers just not the same wout lydia  but im actually excited about this summer ,Kolkata,28.74,81,Clouds
2009-06-23 11:31:48,"my tooth is sving, and I cannot see my dentist for a week ",0,sad,my tooth is sving and i cannot see my dentist for a week ,Hyderabad,23.13,89,Clouds
2009-05-31 01:08:05,cant sleep got heartburn really bad ,0,sad,cant sleep got heartburn really bad ,Pune,24.11,72,Clouds
2009-06-06 03:32:13,Off to Whipsnade  Hope it's dry,4,happy,off to whipsnade  hope its dry,Ahmedabad,31.42,58,Clouds
2009-06-16 21:44:13,Going To Bed ...My Ankle Hurts ,0,sad,going to bed my ankle hurts ,Jaipur,34.37,42,Clouds
2009-06-07 17:37:10,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,0,sad,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,Lucknow,29.99,69,Clouds
2009-06-03 00:02:11,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,0,sad,i shame the name of female  lol alright shower then sleep then get up in like  hours,Delhi,34.12,51,Clouds
2009-06-03 05:00:24,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",4,happy, fine kinders coughing again so not a lot of sleep weathers good though thats the main thing ,Mumbai,27.72,82,Clouds
2009-05-17 11:37:05,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,4,happy,listening to the nutcracker  who says its only a christmas thing ,Bangalore,23.83,77,Clouds
2009-05-10 09:39:21,"i miss him, i cant wait to see him, im happy ",4,happy,i miss him i cant wait to see him im happy ,Chennai,29.34,81,Clouds
2009-06-05 17:41:34,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,0,sad, are you missing me im missing my tuesday nights of  ,Kolkata,28.74,81,Clouds
2009-06-07 19:27:50,"@mithss mourniiiiiiing eh, morniiing!!! ",4,happy, mourniiiiiiing eh morniiing ,Hyderabad,23.13,89,Clouds
2009-04-21 01:51:27,@pamelaong Glad the blog helped ,4,happy, glad the blog helped ,Pune,24.11,72,Clouds
2009-05-16 23:30:02,Awesome pumpkin! Your famous ,4,happy,awesome pumpkin your famous ,Ahmedabad,31.42,58,Clouds
2009-06-06 21:58:48,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",0,sad, sadly  ive never seen a single episode i know  im fired  right ,Jaipur,34.37,42,Clouds
2009-05-29 01:19:53,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,4,happy, haha i will oo hows you  long time no  reply,Lucknow,29.99,69,Clouds
2009-04-06 22:35:40,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",0,sad, awww good luck paula please dont work too hard  but i hope you have fun  your new album is gonna be amazing  xxx,Delhi,34.12,51,Clouds
2009-06-16 08:34:51,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,4,happy,seattle pride will be june th at am  come out and support your community march with the marriage equality contingent ,Mumbai,27.72,82,Clouds
2009-05-29 15:54:31,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",4,happy, seriosuly the second one quotsince im already a mid class dude and would work for foodquot ,Bangalore,23.83,77,Clouds
2009-06-14 23:24:06,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,0,sad,at schoollistining to die rzte  westerlandgreat song reallybtw im so tiredi sleeped between  and thats bad ,Chennai,29.34,81,Clouds
2009-05-18 08:07:33,I am so hungry  I hate not eating breakfast!,0,sad,i am so hungry  i hate not eating breakfast,Kolkata,28.74,81,Clouds
2009-06-17 20:29:42,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,0,sad,ewww if i work at fazolis i have to year a viserand ugly shoesand a pony tailand no nail polish ,Hyderabad,23.13,89,Clouds
2009-06-06 01:09:42,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,4,happy, no its full of win and i luv it lt ive been meaning to catch up to where its at now for ages now i have ,Pune,24.11,72,Clouds
2009-05-30 07:55:49,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,0,sad,oft as finished as i can be can i relax and be on holiday now i think ive missed the acceptable slot for lunch ,Ahmedabad,31.42,58,Clouds
2009-05-29 19:42:58,@ItsNeet 100%.. its like getting an A for all your classes.. ,4,happy,  its like getting an a for all your classes ,Jaipur,34.37,42,Clouds
2009-05-18 07:09:24,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",4,happy, hi seb im a spanish fan of youim addicted to sp and i think its the best band in the worldplease come to spain early ,Lucknow,29.99,69,Clouds
2009-05-30 12:41:07,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,4,happy,home from soccer its so hot out there today we have retreated to the coolness of the basement ,Delhi,34.12,51,Clouds
2009-06-01 04:49:53,i have find my someone ,4,happy,i have find my someone ,Mumbai,27.72,82,Clouds
2009-06-07 14:14:58,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,4,happy, we are the quotfugazi patrolquot amp our motto is quotif u see a clown point em outquot please let everyone know about us ,Bangalore,23.83,77,Clouds
2009-06-02 00:54:35,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,4,happy,it is ginormous haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,Chennai,29.34,81,Clouds
2009-06-07 17:59:14,I'm obsessed with twitting  haha,4,happy,im obsessed with twitting  haha,Kolkata,28.74,81,Clouds
2009-05-04 04:28:34,One interlock down one to go ,4,happy,one interlock down one to go ,Hyderabad,23.13,89,Clouds
2009-06-18 19:22:16,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",0,sad,ughsummer colds are the worst esp when you have a fever on top of this ridic humidity ,Pune,24.11,72,Clouds
2009-06-07 14:45:03,I miss Zack so much these days ,0,sad,i miss zack so much these days ,Ahmedabad,31.42,58,Clouds
2009-06-05 20:58:42,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,0,sad, im using an asus forget which one at the moment since i dont have it near mebut my complaints are similar to yours ,Jaipur,34.37,42,Clouds
2009-06-01 23:30:45,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",4,happy, oh ive got a case i designed it someone idiot stole it and i can prove it if they want to play hardballim game ,Lucknow,29.99,69,Clouds
2009-05-29 01:05:16,my thumb hurts after breaking the nail.... ,0,sad,my thumb hurts after breaking the nail ,Delhi,34.12,51,Clouds
2009-06-02 01:37:00,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",4,happy, congrats on the x platinum  its a fantastic album one of my favs,Mumbai,27.72,82,Clouds
2009-05-31 04:48:37,"@JosephFrost Yeahh, that would be pretty awesome. ",4,happy, yeahh that would be pretty awesome ,Bangalore,23.83,77,Clouds
2009-05-18 05:11:04,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,4,happy, so i think you should work for the discovery channel bc then it would be media and sharks ,Chennai,29.34,81,Clouds
2009-04-19 06:32:32,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",0,sad, home is mums house lol hm maddens could be a plan am actually stone cold broke atm tho not even sure i could afford door fee ,Kolkata,28.74,81,Clouds
2009-06-18 16:12:13,@MandyyJirouxx that page doesn't exist ,0,sad, that page doesnt exist ,Hyderabad,23.13,89,Clouds
2009-05-29 16:48:18,fighting a cold. ,0,sad,fighting a cold ,Pune,24.11,72,Clouds
2009-06-06 14:32:59,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,0,sad,  aw im jealous i miss home i wish i could be home in cg right now watching spanish tv with my gparents,Ahmedabad,31.42,58,Clouds
2009-06-06 21:26:57,@aleshacal my phone is dying  no charger here!,0,sad, my phone is dying  no charger here,Jaipur,34.37,42,Clouds
2009-05-03 08:15:50,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,4,happy, green day new cd on the th and you on the th woo ,Lucknow,29.99,69,Clouds
2009-06-05 17:20:38,my tv always freezes while i'm watching inbetweeners ,0,sad,my tv always freezes while im watching inbetweeners ,Delhi,34.12,51,Clouds
2009-05-17 23:09:44,@softjunebreeze Ex-factor.... Me too ,0,sad, exfactor me too ,Mumbai,27.72,82,Clouds
2009-04-19 08:34:08, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,0,sad, back to school on mondaywell i did get an ipod touch    see yah tomorrow then i guess ,Bangalore,23.83,77,Clouds
2009-06-17 16:24:30,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,0,sad, i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday xoxo,Chennai,29.34,81,Clouds
2009-06-15 16:58:43,tried to check out your site @poeticmindset ... not working ,0,sad,tried to check out your site   not working ,Kolkata,28.74,81,Clouds
2009-06-04 22:35:04,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,4,happy,watching wayne dyers new program on pbs quotexcuses begonequot lower mainlanders can check it out on ch  or  on shaw peace ,Hyderabad,23.13,89,Clouds
2009-06-07 21:02:16,pimples attack! Arghhhhhhhhh ,0,sad,pimples attack arghhhhhhhhh ,Pune,24.11,72,Clouds
2009-06-20 20:32:07,"has to pack, stillll. and doesn't want to.. ",0,sad,has to pack stillll and doesnt want to ,Ahmedabad,31.42,58,Clouds
2009-06-06 18:54:23,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,0,sad, how dare you get some before i have a chance to youre no longer my friend ,Jaipur,34.37,42,Clouds
2009-05-29 10:54:56,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",4,happy,cant stop listening to the clips of  new album lines vines and trying times its so amazing cant wait for the whole thing ,Lucknow,29.99,69,Clouds
2009-06-18 11:59:03,about to pour in orlando ,0,sad,about to pour in orlando ,Delhi,34.12,51,Clouds
2009-05-30 05:17:50,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",4,happy, i know i dont think they air it on any of the cable channels anymore but you can download them from the net ,Mumbai,27.72,82,Clouds
2009-06-07 17:53:02,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,4,happy,  you will    check the website so you can have an idea as to what product u want to try  i will sent u the email tomorrow ,Bangalore,23.83,77,Clouds
2009-06-15 14:05:40,@annieomnious    can it be fixed?  can we make a new simple one mayb?,0,sad,    can it be fixed  can we make a new simple one mayb,Chennai,29.34,81,Clouds
2009-06-15 15:55:35,blÃ¤Ã¤ i have a headache ,0,sad,bl i have a headache ,Kolkata,28.74,81,Clouds
2009-06-02 22:26:54,Has just joined Twitter.. It better be good! ,4,happy,has just joined twitter it better be good ,Hyderabad,23.13,89,Clouds
2009-06-07 10:19:20,Where in Singapore do they sell Dujour? ,0,sad,where in singapore do they sell dujour ,Pune,24.11,72,Clouds
2009-06-16 12:28:43,"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",0,sad, the quotyellow pressquot is alive and well in the st century how quickly we forget the uss maine ,Ahmedabad,31.42,58,Clouds
2009-06-15 22:27:48,haven't been on all day  went to bed late last night!,0,sad,havent been on all day  went to bed late last night,Jaipur,34.37,42,Clouds
2009-06-07 09:39:23,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",4,happy,wheres all the rain we were supposed to have today not complaining tho its lovely amp bright very happy making ,Lucknow,29.99,69,Clouds
2009-05-14 03:27:13,"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",4,happy, thank you it only took me two minutes thankfully the style of envirowisegovuk was already there for the taking ,Delhi,34.12,51,Clouds
2009-05-17 23:15:06,ps: i think twitter sucks if you dont have free unlimited texts. ,0,sad,ps i think twitter sucks if you dont have free unlimited texts ,Mumbai,27.72,82,Clouds
2009-06-15 08:48:42,"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",4,happy, ha that sounds so wrong stacy lmao  i love you and when i take one ill think of you too haha and on youtube ,Bangalore,23.83,77,Clouds
2009-06-03 05:10:09,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,4,happy,     no no really its ok u try em out and then u can see which works and doesnt  by that time its to late,Chennai,29.34,81,Clouds
2009-06-21 07:19:34,Who else misses Parade the day incredibly much.. ,0,sad,who else misses parade the day incredibly much ,Kolkata,28.74,81,Clouds
2009-06-03 07:31:07,I was caller number one. ,0,sad,i was caller number one ,Hyderabad,23.13,89,Clouds
2009-06-01 22:23:18,@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,0,sad, ditto goodnight amp rest well go play the lottery i bought a ticket when i was n fl last week but no luck ,Pune,24.11,72,Clouds
2009-06-01 23:50:48,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",4,happy,mornin every hope all is well im your worlds im not sure why im at work at  this mornin but i guess its not all bad ,Ahmedabad,31.42,58,Clouds
2009-06-03 06:42:31,should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,0,sad,should be going out but wants to stay put to participate in  experiment  might have to do it by txt no photo part ,Jaipur,34.37,42,Clouds
2009-04-19 23:02:39,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",4,happy,if you can take criticism and blame without resentment youre probably the family dog  see  cheers louann,Lucknow,29.99,69,Clouds
2009-05-04 06:22:24,"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",0,sad, sorry i know im late responding hrs  timezone troubles but i think you would need to load audacity to your compy,Delhi,34.12,51,Clouds
2009-06-01 23:59:30,History exam today and dreading it ,0,sad,history exam today and dreading it ,Mumbai,27.72,82,Clouds
2009-06-16 19:28:23,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,0,sad,after seeing mr benningfield tonight it really made me start to miss my vand family like hxc  i love you band geeks lt,Bangalore,23.83,77,Clouds
2009-06-07 01:33:35,Just downloaded a new Twitter app for my phone. So much better already. ,4,happy,just downloaded a new twitter app for my phone so much better already ,Chennai,29.34,81,Clouds
2009-06-07 09:02:01,I seem to be making a habbit out of not falling asleep until very late ,0,sad,i seem to be making a habbit out of not falling asleep until very late ,Kolkata,28.74,81,Clouds
2009-06-04 11:23:45,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,0,sad,there was a steady stream at my polling station mostly old folks surely they wouldnt vote for the fascists  are people that stupid ,Hyderabad,23.13,89,Clouds
2009-06-20 18:08:50,Missionaries had passport problems. Still havn't arrived  ya'll pray!,0,sad,missionaries had passport problems still havnt arrived  yall pray,Pune,24.11,72,Clouds
2009-05-02 23:39:51,had a very good night ,4,happy,had a very good night ,Ahmedabad,31.42,58,Clouds
2009-05-31 11:03:41,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",4,happy,enjoying the morning just hanging out with juliet in victoria she doesnt know it yet but im taking her to see il divo tonight  ,Jaipur,34.37,42,Clouds
2009-05-03 04:06:50,Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,4,happy,off to the miss bikini philippines pageant thanks to  for the ticket ,Lucknow,29.99,69,Clouds
2009-06-07 05:56:58,i'm going global .. ,4,happy,im going global  ,Delhi,34.12,51,Clouds
2009-06-06 12:53:31,They are gone .. ,0,sad,they are gone  ,Mumbai,27.72,82,Clouds
2009-05-22 04:18:16,Friends with scott again ,4,happy,friends with scott again ,Bangalore,23.83,77,Clouds
2009-05-29 14:22:19,I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,4,happy,i think that my lovely brother  should take me and his lovely sister  to old town for some dinn dinn amp margaritas ,Chennai,29.34,81,Clouds
2009-06-04 08:50:08,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,4,happy,roast in the cooker and cakes in the oven soon  good morning  hope everyone is well today ,Kolkata,28.74,81,Clouds
2009-06-19 16:11:47,Wooo I picked my sister and I miss the empty house. ,0,sad,wooo i picked my sister and i miss the empty house ,Hyderabad,23.13,89,Clouds
